Title,Artist,Rank,Peak Position,Last Position,Weeks
"Kill Em With Kindness","Selena Gomez",89,39,79,15
"Famous","Kanye West",100,34,90,14
"Cake By The Ocean","DNCE",47,9,49,46
"Wicked","Future",86,41,64,20
"Wyclef Jean","Young Thug",87,87,0,1
"Record Year","Eric Church",91,44,74,20
"Duele El Corazon","Enrique Iglesias Featuring Wisin",98,82,92,8
"Church Bells","Carrie Underwood",99,43,85,17
"Love Yourself","Justin Bieber",48,1,46,41
"Nikes","Frank Ocean",79,79,0,1
"Ivy","Frank Ocean",80,80,0,1
"Pink + White","Frank Ocean",84,84,0,1
"Solo","Frank Ocean",96,96,0,1
"Nights","Frank Ocean",98,98,0,1
"Uber Everywhere","MadeinTYO",77,51,79,20
"Hit Or Miss","Jacob Sartorius",81,72,0,2
"Fix","Chris Lane",82,65,72,12
"Toothbrush","DNCE",85,44,66,10
"Pop Style","Drake Featuring The Throne",86,16,86,20
"Lights Come On","Jason Aldean",89,43,87,19
"Castaway","Zac Brown Band",96,96,0,2
"No Money","Galantis",97,88,93,5
"Wasted Time","Keith Urban",99,51,97,17
"Let It Go","James Bay",49,16,47,34
"Sorry","Justin Bieber",50,1,45,42
"Head Over Boots","Jon Pardi",53,51,59,24
"Bohemian Rhapsody","Panic! At The Disco",64,64,0,1
"All The Way Up","Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",68,27,65,20
"Close","Nick Jonas Featuring Tove Lo",73,14,64,20
"Wake Up","Fetty Wap",92,50,80,13
"Huntin', Fishin' & Lovin' Every Day","Luke Bryan",95,37,85,20
"My House","Flo Rida",44,4,39,39
"Dangerous Woman","Ariana Grande",48,8,36,21
"Lush Life","Zara Larsson",75,75,0,3
"Holy Key","DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",84,84,0,1
"Brand New","Ben Rector",87,82,83,5
"Wherever I Go","OneRepublic",91,55,73,12
"Back On Road","Gucci Mane & Drake",81,81,0,1
"P**** Print","Gucci Mane Featuring Kanye West",89,89,0,1
"Light It Up","Major Lazer Featuring Nyla & Fuse ODG",98,73,92,20
"Lost Boy","Ruth B",43,24,27,22
"Never Forget You","Zara Larsson & MNEK",49,13,40,23
"Girls Talk Boys","5 Seconds Of Summer",68,68,0,1
"Body Say","Demi Lovato",84,84,0,1
"No","Meghan Trainor",85,3,78,20
"M.I.L.F. $","Fergie",86,34,80,3
"Night's On Fire","David Nail",88,81,81,5
"Ophelia","The Lumineers",94,66,94,12
"Body","Dreezy Featuring Jeremih",99,62,96,18
"Pillowtalk","Zayn",48,1,38,24
"Me, Myself & I","G-Eazy x Bebe Rexha",49,7,42,37
"T-Shirt","Thomas Rhett",68,41,68,20
"Love Make The World Go Round","Jennifer Lopez & Lin-Manuel Miranda",72,72,0,1
"Noise","Kenny Chesney",84,72,73,14
"Came Here To Forget","Blake Shelton",90,36,86,19
"Bored To Death","Blink-182",92,85,85,2
"La Bicicleta","Carlos Vives & Shakira",95,95,0,1
"Cut It","O.T. Genasis Featuring Young Dolph",40,35,39,20
"Oui","Jeremih",49,19,44,27
"Wild Things","Alessia Cara",77,50,66,20
"The Sound Of Silence","Disturbed",79,42,79,20
"Messin' Around","Pitbull Featuring Enrique Iglesias",88,64,0,8
"Still Here","Drake",95,40,93,10
"Hype","Drake",97,33,84,10
"Flexicution","Logic",100,100,0,1
"Really Really","Kevin Gates",50,46,46,26
"Think Of You","Chris Young Duet With Cassadee Pope",87,40,84,20
"Grammys","Drake Featuring Future",91,38,93,9
"Try Everything","Shakira",92,63,87,9
"Champions","Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",98,71,79,3
"Dark Necessities","Red Hot Chili Peppers",100,67,67,2
"2 Phones","Kevin Gates",45,17,42,25
"Humble And Kind","Tim McGraw",52,30,41,20
"What The World Needs Now Is Love","Broadway For Orlando",86,86,0,1
"Ain't No Stopping Us Now","Kane Brown",88,88,0,1
"Kiss It Better","Rihanna",99,62,89,12
"Exchange","Bryson Tiller",46,26,38,34
"Somewhere On A Beach","Dierks Bentley",58,35,57,20
"Sweatshirt","Jacob Sartorius",90,90,0,1
"With You","Drake Featuring PARTYNEXTDOOR",93,47,85,7
"Might Not","Belly Featuring The Weeknd",96,68,84,17
"Faded","Alan Walker",100,80,92,8
"Middle","DJ Snake Featuring Bipolar Sunshine",49,20,44,21
"My Church","Maren Morris",56,50,57,20
"Snapback","Old Dominion",70,50,55,20
"Nothing Is Promised","Mike WiLL Made-It x Rihanna",75,75,0,1
"Mind Reader","Dustin Lynch",87,57,72,16
"Formation","Beyonce",88,10,82,7
"Feel No Ways","Drake",91,53,80,6
"Law","Yo Gotti Featuring E-40",94,79,81,9
"Piece By Piece","Kelly Clarkson",95,8,91,15
"Moolah","Young Greatness",98,85,85,9
"Youth","Troye Sivan",100,23,90,18
"My Boo","Ghost Town DJ's",47,27,40,36
"If It Ain't Love","Jason Derulo",84,67,76,8
"9","Drake",87,45,72,5
"One Call Away","Charlie Puth",46,12,42,26
"Lonesome Broken And Blue","Adam Wakefield",73,73,0,1
"U With Me?","Drake",82,44,68,4
"Fire & Desire","Drake",85,75,75,4
"Every Breath You Take","Hannah Huston",94,94,0,1
"Redemption","Drake",95,61,83,3
"Down That Road","Alisan Porter",100,100,0,1
"Stitches","Shawn Mendes",41,4,34,52
"Roses","The Chainsmokers Featuring Rozes",48,6,42,31
"Don't","Bryson Tiller",49,13,46,34
"The Fighter","Keith Urban Featuring Carrie Underwood",69,69,0,1
"Weston Road Flows","Drake",84,54,0,2
"Keep The Family Close","Drake",85,68,0,2
"Faithful","Drake Featuring Pimp C & dvsn",90,72,0,2
"Blessings","Chance The Rapper Featuring Ty Dolla $ign",93,93,0,1
"I'm Sorry","Adam Wakefield",94,94,0,1
"Promise","Kid Ink Featuring Fetty Wap",100,57,89,14
"Go Ahead And Break My Heart","Blake Shelton Featuring Gwen Stefani",70,70,0,1
"Ain't Your Mama","Jennifer Lopez",76,76,0,2
"6 Inch","Beyonce Featuring The Weeknd",82,18,28,3
"I Like The Sound Of That","Rascal Flatts",95,52,97,16
"Confession","Florida Georgia Line",97,53,96,20
"Team","Iggy Azalea",99,42,88,8
"Don't Hurt Yourself","Beyonce Featuring Jack White",37,28,28,2
"All Night","Beyonce",64,38,38,2
"Freedom","Beyonce Featuring Kendrick Lamar",65,35,35,2
"Daddy Lessons","Beyonce",66,41,41,2
"Pray You Catch Me","Beyonce",70,37,37,2
"Sandcastles","Beyonce",71,43,43,2
"Love Drought","Beyonce",73,47,47,2
"True Colors","Zedd & Kesha",74,74,0,1
"Views","Drake",86,86,0,1
"Summer Sixteen","Drake",89,6,73,14
"Purple Rain","Prince And The Revolution",4,2,17,18
"When Doves Cry","Prince",8,1,20,23
"Little Red Corvette","Prince",20,6,29,24
"Kiss","Prince And The Revolution",23,1,28,20
"Let's Go Crazy","Prince And The Revolution",25,1,39,21
"1999","Prince",27,12,41,30
"Raspberry Beret","Prince And The Revolution",33,2,0,18
"I Would Die 4 U","Prince And The Revolution",39,8,0,16
"Jumpman","Drake & Future",49,12,34,32
"Forward","Beyonce Featuring James Blake",63,63,0,1
"Back To Sleep","Chris Brown",70,20,57,20
"You Should Be Here","Cole Swindell",72,31,55,20
"New Level","A$AP Ferg Featuring Future",90,90,0,3
"Company","Justin Bieber",91,53,58,12
"Acquainted","The Weeknd",92,60,75,18
"Go Flex","Post Malone",94,94,0,1
"That Don't Sound Like You","Lee Brice",99,64,81,11
"Hands To Myself","Selena Gomez",35,7,24,20
"Hello","Adele",36,1,27,26
"Down In The DM","Yo Gotti Featuring Nicki Minaj",40,13,32,21
"The Hills","The Weeknd",48,1,39,48
"New Romantics","Taylor Swift",78,46,46,8
"Drunk On Your Love","Brett Eldredge",83,35,65,15
"Saved","Ty Dolla $ign Featuring E-40",87,81,81,9
"Little Bit Of You","Chase Bryant",88,71,71,11
"Might Be","DJ Luke Nasty",92,78,79,10
"Pt. 2","Kanye West",97,54,73,3
"Jimmy Choo","Fetty Wap",98,65,89,11
"Let Me Love You","Ariana Grande Featuring Lil Wayne",99,99,0,1
"Fast Car","Jonas Blue Featuring Dakota",100,98,99,5
"Die A Happy Man","Thomas Rhett",45,21,36,30
"Nobody To Blame","Chris Stapleton",80,68,68,15
"Waves","Kanye West",86,71,71,2
"Sugar","Robin Schulz Featuring Francesco Yates",88,44,82,15
"Ultralight Beam","Kanye West",90,67,67,2
"Victorious","Panic! At The Disco",96,89,96,4
"Hotline Bling","Drake",50,2,38,36
"When We Were Young","Adele",70,14,58,20
"Best Friend","Young Thug",76,45,66,20
"FML","Kanye West",84,84,0,1
"Tennessee Whiskey","Chris Stapleton",90,20,0,6
"Real Friends","Kanye West",92,92,0,1
"Beautiful Drug","Zac Brown Band",94,52,76,20
"Heartbeat","Carrie Underwood",95,42,80,14
"Feedback","Kanye West",99,99,0,1
"679","Fetty Wap Featuring Remy Boyz",40,4,39,40
"What Do You Mean?","Justin Bieber",41,1,37,31
"Say It","Tory Lanez",42,23,38,24
"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend",46,8,41,39
"White Iverson","Post Malone",49,14,45,30
"Like I Would","Zayn",73,55,93,3
"Stand By You","Rachel Platten",75,37,77,20
"I Know What You Did Last Summer","Shawn Mendes & Camila Cabello",86,20,88,20
"With Them","Young Thug",87,87,0,1
"Home Alone Tonight","Luke Bryan Featuring Karen Fairchild",90,38,91,19
"Digits","Young Thug",93,93,0,1
"Something In The Way You Move","Ellie Goulding",96,43,87,10
"Make Me Like You","Gwen Stefani",100,54,80,5
"Be Alright","Ariana Grande",43,43,0,1
"Hide Away","Daya",46,23,41,27
"Here","Alessia Cara",47,5,39,34
"Same Old Love","Selena Gomez",48,5,45,28
"Ex's & Oh's","Elle King",49,10,48,38
"In The Night","The Weeknd",52,12,47,20
"Adventure Of A Lifetime","Coldplay",76,13,65,20
"Backroad Song","Granger Smith",94,49,89,16
"Something New","Zendaya Featuring Chris Brown",97,93,93,3
"Sorry Not Sorry","Bryson Tiller",99,67,95,15
"Can't Feel My Face","The Weeknd",50,1,45,41
"We Went","Randy Houser",91,60,75,13
"Break On Me.","Keith Urban",99,54,81,12
"Untitled 02 l 06.23.2014.","Kendrick Lamar",79,79,0,1
"Untitled 07 l Levitate","Kendrick Lamar",90,90,0,1
"Watch Out","2 Chainz",91,64,98,11
"Get Ugly","Jason Derulo",97,52,77,12
"Gotta Lotta","2 Chainz Featuring Lil Wayne",100,100,0,1
"Antidote","Travis Scott",47,16,40,26
"Lean On","Major Lazer & DJ Snake Featuring MO",48,4,49,48
"See You Again","Wiz Khalifa Featuring Charlie Puth",49,1,45,52
"It's You","Zayn",59,59,0,1
"Hello Friday","Flo Rida Featuring Jason Derulo",79,79,0,1
"Perfect","One Direction",87,10,79,20
"$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan",89,71,95,19
"Til It Happens To You","Lady Gaga",95,95,0,1
"Walking On A Dream","Empire Of The Sun",99,65,90,5
"History","One Direction",100,65,98,6
"Wildest Dreams","Taylor Swift",46,5,46,27
"Dibs","Kelsea Ballerini",69,58,60,17
"Out Of The Woods","Taylor Swift",77,18,53,10
"Hollow","Tori Kelly",84,68,68,11
"Look At My Dab","Migos",87,87,0,1
"I Love This Life","LOCASH",99,56,99,18
"Uptown Funk!","Mark Ronson Featuring Bruno Mars",22,1,0,56
"Break Up In A Small Town","Sam Hunt",47,29,40,20
"On My Mind","Ellie Goulding",48,13,41,22
"Confident","Demi Lovato",75,21,70,20
"Stay A Little Longer","Brothers Osborne",76,46,71,20
"All I Ask","Adele",77,77,0,1
"Good To Be Alive (Hallelujah)","Andy Grammer",90,62,87,10
"Bang My Head","David Guetta Featuring Sia & Fetty Wap",93,76,81,6
"Irresistible","Fall Out Boy",94,48,86,14
"Do It Like Me","DLOW",97,45,91,15
"Dessert","Dawin",100,68,98,11
"Watch Me","Silento",47,3,38,51
"Fly S**t Only","Future",67,67,0,1
"Bake Sale","Wiz Khalifa Featuring Travi$ Scott",74,56,0,2
"Die A Happy Man","Nelly",83,83,0,1
"WTF (Where They From)","Missy Elliott Featuring Pharrell Williams",92,22,95,14
"Whisper","Chase Rice",94,94,0,1
"The Fix","Nelly Featuring Jeremih",97,62,87,20
"No Role Modelz","J. Cole",47,36,42,25
"Again","Fetty Wap",50,33,46,26
"Big Rings","Drake & Future",73,52,71,20
"Country Nation","Brad Paisley",94,94,94,2
"Back Up","DeJ Loaf Featuring Big Sean",96,47,83,18
"Jam","Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",97,97,0,1
"Alive","Sia",99,56,0,3
"Play No Games","Big Sean Featuring Chris Brown & Ty Dolla $ign",100,84,92,14
"I Got The Boy","Jana Kramer",73,56,59,16
"Mr. Misunderstood","Eric Church",85,84,85,5
"Focus","Ariana Grande",89,7,51,13
"Gonna Know We Were Here","Jason Aldean",93,54,74,16
"Emperor's New Clothes","Panic! At The Disco",96,68,72,4
"Bottom Of The Bottle","Curren$Y Featuring August Alsina & Lil Wayne",97,97,0,1
"Locked Away","R. City Featuring Adam Levine",48,6,49,27
"I'll Show You","Justin Bieber",75,19,67,12
"New Americana","Halsey",87,60,76,17
"Death Of A Bachelor","Panic! At The Disco",92,92,0,1
"Lay It All On Me","Rudimental Featuring Ed Sheeran",93,48,88,16
"Right Hand","Drake",94,58,91,19
"Come Get Her","Rae Sremmurd",97,56,96,19
"Lean & Dabb","iLoveMemphis",98,98,0,1
"Ginza","J Balvin",99,84,100,15
"Trap Queen","Fetty Wap",39,2,35,52
"Lazarus","David Bowie",40,40,0,1
"Space Oddity","David Bowie",42,15,0,15
"Under Pressure","Queen & David Bowie",45,29,0,16
"Blackstar","David Bowie",78,78,0,1
"Used To Love You","Gwen Stefani",80,52,61,9
"Gonna","Blake Shelton",92,54,72,18
"RGF Island","Fetty Wap",95,57,94,14
"Blase","Ty Dolla $ign Featuring Future & Rae Sremmurd",99,63,99,18
"Where Ya At","Future Featuring Drake",47,28,45,25
"Where Are U Now","Skrillex & Diplo With Justin Bieber",49,8,49,45
"Downtown","Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",70,12,72,20
"Top Of The World","Tim McGraw",79,73,84,13
"Smoke Break","Carrie Underwood",95,43,87,19
"Hit The Quan","iLoveMemphis",37,15,34,20
"Burning House","Cam",44,29,50,25
"Purpose","Justin Bieber",86,43,95,7
"Liquor","Chris Brown",89,60,77,17
"Stick Talk","Future",91,91,99,2
"The Feeling","Justin Bieber Featuring Halsey",93,31,84,7
"Zero","Chris Brown",95,80,80,2
"Jugg","Fetty Wap Featuring Monty",96,86,0,6
"Hallelujah","Lindsey Stirling",81,81,0,1
"Little More (Royalty)","Chris Brown",91,91,0,1
"Mary Did You Know","Jordan Smith",24,24,0,1
"Good For You","Selena Gomez Featuring A$AP Rocky",43,5,40,26
"Cheerleader","OMI",49,1,43,35
"Drag Me Down","One Direction",50,3,46,20
"Burning House","Emily Ann Roberts",56,56,0,1
"Climb Every Mountain","Jordan Smith",72,72,0,1
"Back To Back","Drake",74,21,66,20
"Nothin' Like You","Dan + Shay",85,51,69,19
"Strip It Down","Luke Bryan",88,30,80,20
"God Only Knows","Jordan Smith & Adam Levine",90,90,0,1
"Somebody To Love","Jordan Smith",99,21,21,2
"Renegades","X Ambassadors",50,17,40,35
"Mark My Words","Justin Bieber",90,42,80,4
"Already Callin' You Mine","Parmalee",91,91,100,3
"Random","G-Eazy",94,94,0,1
"No Pressure","Justin Bieber Featuring Big Sean",96,49,88,4
"Sorry","Rick Ross Featuring Chris Brown",97,97,0,1
"Drifting","G-Eazy Featuring Chris Brown & Tory Lanez",98,98,0,1
"My Way","Fetty Wap Featuring Monty",43,7,35,22
"I'm Comin' Over","Chris Young",44,33,41,23
"Photograph","Ed Sheeran",50,10,48,30
"How Deep Is Your Love","Calvin Harris & Disciples",55,27,52,20
"Hallelujah","Jordan Smith",61,61,0,1
"No Sense","Justin Bieber Featuring Travi$ Scott",90,54,78,3
"I'd Just Love To Lay You Down","Barrett Baber",92,92,0,1
"Daddy","PSY Featuring CL",97,97,0,1
"Girls Just Want To Have Fun","Madi Davis",98,98,0,1
"Let Me See Ya Girl","Cole Swindell",99,59,90,18
"Remedy","Adele",87,87,0,1
"Life Is Worth Living","Justin Bieber",89,67,67,2
"Love Myself","Hailee Steinfeld",93,30,84,16
"Rich $ex","Future",100,100,0,1
"Great Is Thy Faithfulness","Jordan Smith",30,30,0,1
"Break Up With Him","Old Dominion",64,44,53,20
"Children","Justin Bieber",74,74,0,1
"Been You","Justin Bieber",81,81,0,1
"If I Could Fly","One Direction",83,83,0,1
"Olivia","One Direction",87,87,0,1
"We Are","Justin Bieber Featuring Nas",88,88,0,1
"Get Used To It","Justin Bieber",90,90,0,1
"A.M.","One Direction",94,94,0,1
"Temporary Fix","One Direction",96,96,0,1
"Trust","Justin Bieber",98,98,0,1
"Never Enough","One Direction",100,100,0,1
"Hello","Adele",1,1,1,5
"Sorry","Justin Bieber",2,2,2,5
"Hotline Bling","Drake",3,2,3,17
"What Do You Mean?","Justin Bieber",4,1,5,13
"The Hills","The Weeknd",5,1,6,27
"Stitches","Shawn Mendes",6,4,7,27
"Love Yourself","Justin Bieber",7,4,4,2
"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend",8,8,11,21
"679","Fetty Wap Featuring Remy Boyz",9,4,8,22
"Here","Alessia Cara",10,10,10,17
"Same Old Love","Selena Gomez",11,11,13,11
"Ex's & Oh's","Elle King",12,10,12,21
"Wildest Dreams","Taylor Swift",13,5,9,14
"Watch Me","Silento",14,3,18,40
"On My Mind","Ellie Goulding",15,15,15,10
"Focus","Ariana Grande",16,7,14,4
"Can't Feel My Face","The Weeknd",17,1,17,25
"Jumpman","Drake & Future",18,12,16,10
"Lean On","Major Lazer & DJ Snake Featuring MO",19,4,21,34
"Antidote","Travis Scott",20,20,23,12
"Uptown Funk!","Mark Ronson Featuring Bruno Mars",21,1,24,55
"When We Were Young","Adele",22,22,0,1
"Hit The Quan","iLoveMemphis",23,15,27,15
"Locked Away","R. City Featuring Adam Levine",24,6,20,19
"White Iverson","Post Malone",25,25,28,12
"Trap Queen","Fetty Wap",26,2,29,45
"Perfect","One Direction",27,10,37,6
"Confident","Demi Lovato",28,28,36,8
"Die A Happy Man","Thomas Rhett",29,25,25,10
"Drag Me Down","One Direction",30,3,40,17
"I'll Show You","Justin Bieber",31,19,19,4
"Where Are U Now","Skrillex & Diplo With Justin Bieber",32,8,34,39
"Don't","Bryson Tiller",33,33,38,9
"Where Ya At","Future Featuring Drake",34,28,35,19
"My Way","Fetty Wap Featuring Monty",35,7,39,21
"See You Again","Wiz Khalifa Featuring Charlie Puth",36,1,41,38
"Say It","Tory Lanez",37,37,51,6
"Renegades","X Ambassadors",38,17,26,33
"Break Up In A Small Town","Sam Hunt",39,39,44,8
"Good For You","Selena Gomez Featuring A$AP Rocky",40,5,32,23
"I'm Comin' Over","Chris Young",41,33,33,22
"Again","Fetty Wap",42,33,45,16
"Cheerleader","OMI",43,1,47,32
"No Role Modelz","J. Cole",44,44,52,15
"Do It Like Me","DLOW",45,45,59,3
"The Feeling","Justin Bieber Featuring Halsey",46,31,31,2
"Back Up","DeJ Loaf Featuring Big Sean",47,47,55,8
"Photograph","Ed Sheeran",48,10,46,29
"Burning House","Cam",49,49,58,20
"Lay It All On Me","Rudimental Featuring Ed Sheeran",50,48,50,8
"Roses","The Chainsmokers Featuring Rozes",51,51,62,6
"How Deep Is Your Love","Calvin Harris & Disciples",52,27,48,19
"Adventure Of A Lifetime","Coldplay",53,53,72,3
"In The Night","The Weeknd",54,54,86,3
"I Know What You Did Last Summer","Shawn Mendes & Camila Cabello",55,55,97,2
"Downtown","Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",56,12,57,14
"Stressed Out","twenty one pilots",57,57,69,10
"Nothin' Like You","Dan + Shay",58,58,60,16
"Smoke Break","Carrie Underwood",59,43,56,14
"Mark My Words","Justin Bieber",60,42,42,2
"Hide Away","Daya",61,61,75,10
"Purpose","Justin Bieber",62,43,43,2
"Gonna","Blake Shelton",63,59,61,11
"Come Get Her","Rae Sremmurd",64,56,65,11
"Strip It Down","Luke Bryan",65,30,70,17
"The Fix","Nelly Featuring Jeremih",66,66,71,9
"Back To Back","Drake",67,21,68,17
"Gonna Know We Were Here","Jason Aldean",68,63,73,7
"Stay A Little Longer","Brothers Osborne",69,69,77,8
"Water Under The Bridge","Adele",70,70,0,1
"Exchange","Bryson Tiller",71,71,78,5
"WTF (Where They From)","Missy Elliott Featuring Pharrell Williams",72,22,22,3
"Company","Justin Bieber",73,53,53,2
"No Pressure","Justin Bieber Featuring Big Sean",74,49,49,2
"Big Rings","Drake & Future",75,52,76,10
"Blase","Ty Dolla $ign Featuring Future & Rae Sremmurd",76,63,63,11
"Used To Love You","Gwen Stefani",77,77,0,2
"No Sense","Justin Bieber Featuring Travi$ Scott",78,54,54,2
"Send My Love (To Your New Lover)","Adele",79,79,0,1
"Tennessee Whiskey","Chris Stapleton",80,20,66,4
"I Got The Boy","Jana Kramer",81,77,82,7
"Top Of The World","Tim McGraw",82,80,85,7
"My House","Flo Rida",83,83,99,3
"Liquor","Chris Brown",84,60,79,13
"Me, Myself & I","G-Eazy x Bebe Rexha",85,83,89,4
"Cake By The Ocean","DNCE",86,79,93,6
"Remedy","Adele",87,87,0,1
"I Love This Life","LOCASH",88,88,92,5
"Life Is Worth Living","Justin Bieber",89,67,67,2
"Let Me See Ya Girl","Cole Swindell",90,59,80,17
"Stand By You","Rachel Platten",91,91,0,2
"Right Hand","Drake",92,58,91,11
"Love Myself","Hailee Steinfeld",93,30,84,16
"Dibs","Kelsea Ballerini",94,90,0,4
"Ginza","J Balvin",95,84,0,11
"RGF Island","Fetty Wap",96,57,95,10
"Home Alone Tonight","Luke Bryan Featuring Karen Fairchild",97,97,0,1
"Best Friend","Young Thug",98,98,0,1
"Play No Games","Big Sean Featuring Chris Brown & Ty Dolla $ign",99,84,0,4
"Rich $ex","Future",100,100,0,1
"Great Is Thy Faithfulness","Jordan Smith",30,30,0,1
"Break Up With Him","Old Dominion",64,44,53,20
"Children","Justin Bieber",74,74,0,1
"Been You","Justin Bieber",81,81,0,1
"If I Could Fly","One Direction",83,83,0,1
"Olivia","One Direction",87,87,0,1
"We Are","Justin Bieber Featuring Nas",88,88,0,1
"Get Used To It","Justin Bieber",90,90,0,1
"A.M.","One Direction",94,94,0,1
"Temporary Fix","One Direction",96,96,0,1
"Trust","Justin Bieber",98,98,0,1
"Never Enough","One Direction",100,100,0,1
"Shut Up And Dance","WALK THE MOON",39,4,38,53
"Thinking Out Loud","Ed Sheeran",45,2,41,58
"Fight Song","Rachel Platten",47,6,40,31
"History","One Direction",65,65,0,1
"Writing's On The Wall","Sam Smith",73,71,0,2
"Alive","Sia",75,56,0,2
"Anything Goes","Florida Georgia Line",79,55,65,18
"Cool For The Summer","Demi Lovato",81,11,72,20
"Comfortable","K Camp",82,54,77,15
"Save It For A Rainy Day","Kenny Chesney",83,54,75,17
"Diamonds Dancing","Drake & Future",85,53,80,8
"Traveller","Chris Stapleton",87,87,0,1
"Halo","Jordan Smith",88,88,0,1
"$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan",93,71,89,6
"Hold My Hand","Jess Glynne",95,86,87,6
"Levels","Nick Jonas",99,44,84,12
"Beautiful Drug","Zac Brown Band",100,95,95,2
"Thriller","Michael Jackson",45,4,0,17
"Want To Want Me","Jason Derulo",50,5,47,35
"All Eyes On You","Meek Mill Featuring Chris Brown & Nicki Minaj",57,21,45,20
"New Americana","Halsey",92,87,87,9
"Scholarships","Drake & Future",94,69,95,7
"Already Callin' You Mine","Parmalee",96,96,0,1
"Jugg","Fetty Wap Featuring Monty",97,86,99,5
"Emperor's New Clothes","Panic! At The Disco",98,68,68,2
"Digital Dash","Drake & Future",99,62,90,7
"We Went","Randy Houser",100,100,0,1
"Sugar","Maroon 5",49,2,46,42
"Marvin Gaye","Charlie Puth Featuring Meghan Trainor",61,21,54,20
"Home","One Direction",74,74,97,2
"Used To Love You Sober","Kane Brown",82,82,0,1
"Gonna Wanna Tonight","Chase Rice",88,67,73,12
"Nothing But Trouble (Instagram Models)","Lil Wayne & Charlie Puth",91,86,86,7
"Powerful","Major Lazer Featuring Ellie Goulding & Tarrus Riley",96,83,83,6
"100","The Game Featuring Drake",100,82,88,10
"Flex (Ooh Ooh Ooh)","Rich Homie Quan",49,26,44,27
"Worth It","Fifth Harmony Featuring Kid Ink",50,12,47,36
"Lose My Mind","Brett Eldredge",67,48,57,20
"This Could Be Us","Rae Sremmurd",72,49,77,20
"John Cougar, John Deere, John 3:16","Keith Urban",78,40,70,20
"Live From The Gutter","Drake & Future",93,74,93,5
"I'm The Plug","Drake & Future",96,76,84,5
"Irresistible","Fall Out Boy",98,77,0,2
"Can't Sleep Love","Pentatonix",99,99,0,1
"Earned It (Fifty Shades Of Grey)","The Weeknd",48,3,47,43
"Bad Blood","Taylor Swift Featuring Kendrick Lamar",49,1,46,25
"El Perdon (Forgiveness)","Nicky Jam & Enrique Iglesias",56,56,58,30
"House Party","Sam Hunt",68,26,63,20
"Fly","Maddie & Tae",95,61,70,14
"Change Locations","Drake & Future",96,82,86,3
"Love Me","The 1975",100,100,0,1
"Uma Thurman","Fall Out Boy",43,22,37,27
"Planez","Jeremih Featuring J. Cole",49,44,51,20
"Buy Me A Boat","Chris Janson",75,41,73,20
"Plastic Bag","Drake & Future",87,78,78,2
"Jersey","Future",91,87,87,2
"Cecilia And The Satellite","Andrew McMahon In The Wilderness",96,96,0,3
"Ghost Town","Adam Lambert",97,64,91,17
"Hold Each Other","A Great Big World Featuring FUTURISTIC",100,99,0,2
"Infinity","One Direction",85,54,54,2
"Black Magic","Little Mix",89,67,78,8
"30 For 30 Freestyle","Drake",92,88,88,2
"Kick The Dust Up","Luke Bryan",99,26,83,20
"Classic Man","Jidenna Featuring Roman GianArthur",46,22,39,21
"Honey, I'm Good.","Andy Grammer",48,9,38,31
"Crash And Burn","Thomas Rhett",62,36,53,20
"Runnin' (Lose It All)","Naughty Boy Featuring Beyonce & Arrow Benjamin",90,90,0,1
"I Don't Like It, I Love It","Flo Rida Featuring Robin Thicke & Verdine White",97,43,64,14
"Alright","Kendrick Lamar",98,81,81,14
"R.I.C.O.","Meek Mill Featuring Drake",100,40,84,13
"Post To Be","Omarion Featuring Chris Brown & Jhene Aiko",48,13,40,37
"Acquainted","The Weeknd",77,60,72,3
"Tell Your Friends","The Weeknd",79,54,70,3
"Hell Of A Night","Dustin Lynch",80,55,65,16
"She's Kinda Hot","5 Seconds Of Summer",82,22,61,9
"About You","Trey Songz",83,83,90,3
"Real Life","Jake Owen",89,74,93,13
"Should've Been Us","Tori Kelly",91,51,68,10
"Firestone","Kygo Featuring Conrad",92,92,0,1
"Loving You Easy","Zac Brown Band",93,40,89,17
"Prisoner","The Weeknd Featuring Lana Del Rey",96,47,77,3
"Dark Times","The Weeknd Featuring Ed Sheeran",98,91,91,3
"Beautiful Now","Zedd Featuring Jon Bellion",74,64,71,14
"Real Life","The Weeknd",79,62,62,2
"Rotten To The Core","Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",80,38,80,6
"Burn Slow","Wiz Khalifa Featuring Rae Sremmurd",83,83,0,1
"Do It Again","Pia Mia Featuring Chris Brown & Tyga",85,71,86,11
"One Man Can Change The World","Big Sean Featuring Kanye West & John Legend",94,82,82,10
"Cheyenne","Jason Derulo",95,66,81,7
"Omen","Disclosure Featuring Sam Smith",96,64,89,6
